,text,cleaned,filtered
17,"16,""b'@geordie_travels hi anthony, it certainly should have changed your available credit once it was showing in pending?\xe2\x80\xa6 https://t.co/qxsluum5qw'""","['16,""b\'@geordie_travels', 'hi', 'anthony,', 'it', 'certainly', 'should', 'have', 'changed', 'your', 'available', 'credit', 'once', 'it', 'was', 'showing', 'in', 'pending?\\xe2\\x80\\xa6', 'https://t.co/qxsluum5qw\'""']","['16,""b\'@geordie_travels', 'hi', 'anthony,', 'certainly', 'changed', 'available', 'credit', 'showing', 'pending?\\xe2\\x80\\xa6', 'https://t.co/qxsluum5qw\'""']"
18,"17,""b""""@thomasjames_01 @mbna hi tom, let me find out more about that for you. it's not something i know much about but i'l\xe2\x80\xa6 https://t.co/gxk8mxcmcn""""""","['17,""b""""@thomasjames_01', '@mbna', 'hi', 'tom,', 'let', 'me', 'find', 'out', 'more', 'about', 'that', 'for', 'you.', ""it's"", 'not', 'something', 'i', 'know', 'much', 'about', 'but', ""i'l\\xe2\\x80\\xa6"", 'https://t.co/gxk8mxcmcn""""""']","['17,""b""""@thomasjames_01', '@mbna', 'hi', 'tom,', 'let', 'find', 'you.', 'something', 'know', 'much', ""i'l\\xe2\\x80\\xa6"", 'https://t.co/gxk8mxcmcn""""""']"
19,"18,""b""""@jakegh_ are you getting any error codes? and do you bank with barclays or is it just barclaycard. if you'd like to\xe2\x80\xa6 https://t.co/pdmww9bjbu""""""","['18,""b""""@jakegh_', 'are', 'you', 'getting', 'any', 'error', 'codes?', 'and', 'do', 'you', 'bank', 'with', 'barclays', 'or', 'is', 'it', 'just', 'barclaycard.', 'if', ""you'd"", 'like', 'to\\xe2\\x80\\xa6', 'https://t.co/pdmww9bjbu""""""']","['18,""b""""@jakegh_', 'getting', 'error', 'codes?', 'bank', 'barclays', 'barclaycard.', 'like', 'to\\xe2\\x80\\xa6', 'https://t.co/pdmww9bjbu""""""']"
20,"19,""b'@peter_kirkham hi peter, sorry to interrupt. apologies that the fraud team are unable to share details of their inv\xe2\x80\xa6 https://t.co/fb5i4a2byg'""","['19,""b\'@peter_kirkham', 'hi', 'peter,', 'sorry', 'to', 'interrupt.', 'apologies', 'that', 'the', 'fraud', 'team', 'are', 'unable', 'to', 'share', 'details', 'of', 'their', 'inv\\xe2\\x80\\xa6', 'https://t.co/fb5i4a2byg\'""']","['19,""b\'@peter_kirkham', 'hi', 'peter,', 'sorry', 'interrupt.', 'apologies', 'fraud', 'team', 'unable', 'share', 'details', 'inv\\xe2\\x80\\xa6', 'https://t.co/fb5i4a2byg\'""']"
21,"20,""b""""@jakegh_ hi jake, so sorry you've had difficulties when trying to make a payment. can i ask are you trying to pay y\xe2\x80\xa6 https://t.co/pqahorvxqp""""""","['20,""b""""@jakegh_', 'hi', 'jake,', 'so', 'sorry', ""you've"", 'had', 'difficulties', 'when', 'trying', 'to', 'make', 'a', 'payment.', 'can', 'i', 'ask', 'are', 'you', 'trying', 'to', 'pay', 'y\\xe2\\x80\\xa6', 'https://t.co/pqahorvxqp""""""']","['20,""b""""@jakegh_', 'hi', 'jake,', 'sorry', 'difficulties', 'trying', 'make', 'payment.', 'ask', 'trying', 'pay', 'y\\xe2\\x80\\xa6', 'https://t.co/pqahorvxqp""""""']"
22,"21,""b""""@mickneal74 hi michael, sorry you're unhappy. if you'd like to explain more in a dm please feel free. thanks nikki https://t.co/mpqb4etryv""""""","['21,""b""""@mickneal74', 'hi', 'michael,', 'sorry', ""you're"", 'unhappy.', 'if', ""you'd"", 'like', 'to', 'explain', 'more', 'in', 'a', 'dm', 'please', 'feel', 'free.', 'thanks', 'nikki', 'https://t.co/mpqb4etryv""""""']","['21,""b""""@mickneal74', 'hi', 'michael,', 'sorry', 'unhappy.', 'like', 'explain', 'dm', 'please', 'feel', 'free.', 'thanks', 'nikki', 'https://t.co/mpqb4etryv""""""']"
23,"22,""b'@mark_the_man_89 hi mark, i would say we do have machines that seal these letters for us and piles are entered dire\xe2\x80\xa6 https://t.co/bchirf4tft'""","['22,""b\'@mark_the_man_89', 'hi', 'mark,', 'i', 'would', 'say', 'we', 'do', 'have', 'machines', 'that', 'seal', 'these', 'letters', 'for', 'us', 'and', 'piles', 'are', 'entered', 'dire\\xe2\\x80\\xa6', 'https://t.co/bchirf4tft\'""']","['22,""b\'@mark_the_man_89', 'hi', 'mark,', 'would', 'say', 'machines', 'seal', 'letters', 'us', 'piles', 'entered', 'dire\\xe2\\x80\\xa6', 'https://t.co/bchirf4tft\'""']"
24,"23,""b""""@neenscbm if you pop over to dm we'll chat further there neens. thanks nikki https://t.co/mpqb4el2qt""""""","['23,""b""""@neenscbm', 'if', 'you', 'pop', 'over', 'to', 'dm', ""we'll"", 'chat', 'further', 'there', 'neens.', 'thanks', 'nikki', 'https://t.co/mpqb4el2qt""""""']","['23,""b""""@neenscbm', 'pop', 'dm', ""we'll"", 'chat', 'neens.', 'thanks', 'nikki', 'https://t.co/mpqb4el2qt""""""']"
25,"24,b'@neenscbm we can only help by calling you neens. when are you home? thanks nikki'","[""24,b'@neenscbm"", 'we', 'can', 'only', 'help', 'by', 'calling', 'you', 'neens.', 'when', 'are', 'you', 'home?', 'thanks', ""nikki'""]","[""24,b'@neenscbm"", 'help', 'calling', 'neens.', 'home?', 'thanks', ""nikki'""]"
26,"25,""b'@geordie_travels hey anthony, do you mean you made a payment to a company or a payment to clear the balance on the credit card? brogan'""","['25,""b\'@geordie_travels', 'hey', 'anthony,', 'do', 'you', 'mean', 'you', 'made', 'a', 'payment', 'to', 'a', 'company', 'or', 'a', 'payment', 'to', 'clear', 'the', 'balance', 'on', 'the', 'credit', 'card?', 'brogan\'""']","['25,""b\'@geordie_travels', 'hey', 'anthony,', 'mean', 'made', 'payment', 'company', 'payment', 'clear', 'balance', 'credit', 'card?', 'brogan\'""']"
27,"26,""b""""@ukbean77 i'm so sorry you feel this way, this certainly isn't how we want any of our customers to feel. could you\xe2\x80\xa6 https://t.co/apf9hrretj""""""","['26,""b""""@ukbean77', ""i'm"", 'so', 'sorry', 'you', 'feel', 'this', 'way,', 'this', 'certainly', ""isn't"", 'how', 'we', 'want', 'any', 'of', 'our', 'customers', 'to', 'feel.', 'could', 'you\\xe2\\x80\\xa6', 'https://t.co/apf9hrretj""""""']","['26,""b""""@ukbean77', ""i'm"", 'sorry', 'feel', 'way,', 'certainly', 'want', 'customers', 'feel.', 'could', 'you\\xe2\\x80\\xa6', 'https://t.co/apf9hrretj""""""']"
28,"27,""b'@danielfoxcc hey daniel, thanks for your tweet. so happy to see you loved the service, our little fraud detection n\xe2\x80\xa6 https://t.co/e4jjqvjkqn'""","['27,""b\'@danielfoxcc', 'hey', 'daniel,', 'thanks', 'for', 'your', 'tweet.', 'so', 'happy', 'to', 'see', 'you', 'loved', 'the', 'service,', 'our', 'little', 'fraud', 'detection', 'n\\xe2\\x80\\xa6', 'https://t.co/e4jjqvjkqn\'""']","['27,""b\'@danielfoxcc', 'hey', 'daniel,', 'thanks', 'tweet.', 'happy', 'see', 'loved', 'service,', 'little', 'fraud', 'detection', 'n\\xe2\\x80\\xa6', 'https://t.co/e4jjqvjkqn\'""']"
29,"28,""b""""@qualiazombie thanks sean, i've just taken a bow in front of my computer for you as if you are royalty lol. if you\xe2\x80\xa6 https://t.co/dvyyl6kb1d""""""","['28,""b""""@qualiazombie', 'thanks', 'sean,', ""i've"", 'just', 'taken', 'a', 'bow', 'in', 'front', 'of', 'my', 'computer', 'for', 'you', 'as', 'if', 'you', 'are', 'royalty', 'lol.', 'if', 'you\\xe2\\x80\\xa6', 'https://t.co/dvyyl6kb1d""""""']","['28,""b""""@qualiazombie', 'thanks', 'sean,', ""i've"", 'taken', 'bow', 'front', 'computer', 'royalty', 'lol.', 'you\\xe2\\x80\\xa6', 'https://t.co/dvyyl6kb1d""""""']"
30,"29,b'@qualiazombie healthy choice i like it. - dan'","[""29,b'@qualiazombie"", 'healthy', 'choice', 'i', 'like', 'it.', '-', ""dan'""]","[""29,b'@qualiazombie"", 'healthy', 'choice', 'like', 'it.', '-', ""dan'""]"
31,"30,""b""""@james_a_day okay i see this often and you're doing the right thing calling through as we do have a team setup with\xe2\x80\xa6 https://t.co/uflgau6u6u""""""","['30,""b""""@james_a_day', 'okay', 'i', 'see', 'this', 'often', 'and', ""you're"", 'doing', 'the', 'right', 'thing', 'calling', 'through', 'as', 'we', 'do', 'have', 'a', 'team', 'setup', 'with\\xe2\\x80\\xa6', 'https://t.co/uflgau6u6u""""""']","['30,""b""""@james_a_day', 'okay', 'see', 'often', 'right', 'thing', 'calling', 'team', 'setup', 'with\\xe2\\x80\\xa6', 'https://t.co/uflgau6u6u""""""']"
32,"31,""b""""@james_a_day and spiritual james, i'm all about your well being especially this close to the weekend. what are you\xe2\x80\xa6 https://t.co/nirloxsezb""""""","['31,""b""""@james_a_day', 'and', 'spiritual', 'james,', ""i'm"", 'all', 'about', 'your', 'well', 'being', 'especially', 'this', 'close', 'to', 'the', 'weekend.', 'what', 'are', 'you\\xe2\\x80\\xa6', 'https://t.co/nirloxsezb""""""']","['31,""b""""@james_a_day', 'spiritual', 'james,', ""i'm"", 'well', 'especially', 'close', 'weekend.', 'you\\xe2\\x80\\xa6', 'https://t.co/nirloxsezb""""""']"
33,"32,""b""""@james_a_day sometimes i wish that you could select what type of music you want to hear as i'm not a huge fan of ho\xe2\x80\xa6 https://t.co/9lrp36met3""""""","['32,""b""""@james_a_day', 'sometimes', 'i', 'wish', 'that', 'you', 'could', 'select', 'what', 'type', 'of', 'music', 'you', 'want', 'to', 'hear', 'as', ""i'm"", 'not', 'a', 'huge', 'fan', 'of', 'ho\\xe2\\x80\\xa6', 'https://t.co/9lrp36met3""""""']","['32,""b""""@james_a_day', 'sometimes', 'wish', 'could', 'select', 'type', 'music', 'want', 'hear', ""i'm"", 'huge', 'fan', 'ho\\xe2\\x80\\xa6', 'https://t.co/9lrp36met3""""""']"
34,"33,""b'@the_purple_nun i am truly sorry about this kirsty, would you be able to pop over to dm with more information about\xe2\x80\xa6 https://t.co/romupa6kqd'""","['33,""b\'@the_purple_nun', 'i', 'am', 'truly', 'sorry', 'about', 'this', 'kirsty,', 'would', 'you', 'be', 'able', 'to', 'pop', 'over', 'to', 'dm', 'with', 'more', 'information', 'about\\xe2\\x80\\xa6', 'https://t.co/romupa6kqd\'""']","['33,""b\'@the_purple_nun', 'truly', 'sorry', 'kirsty,', 'would', 'able', 'pop', 'dm', 'information', 'about\\xe2\\x80\\xa6', 'https://t.co/romupa6kqd\'""']"
35,"34,""b""""@1211justine hi there, i'm really sorry to hear of your experience. could you come through to dm and let me know if\xe2\x80\xa6 https://t.co/5gflbn5m6r""""""","['34,""b""""@1211justine', 'hi', 'there,', ""i'm"", 'really', 'sorry', 'to', 'hear', 'of', 'your', 'experience.', 'could', 'you', 'come', 'through', 'to', 'dm', 'and', 'let', 'me', 'know', 'if\\xe2\\x80\\xa6', 'https://t.co/5gflbn5m6r""""""']","['34,""b""""@1211justine', 'hi', 'there,', ""i'm"", 'really', 'sorry', 'hear', 'experience.', 'could', 'come', 'dm', 'let', 'know', 'if\\xe2\\x80\\xa6', 'https://t.co/5gflbn5m6r""""""']"
36,"35,""b""""@whittakerrob okay robert, in that case just give our app team a call about this on 0333 202 1035 and they'll get this sorted.  - dan""""""","['35,""b""""@whittakerrob', 'okay', 'robert,', 'in', 'that', 'case', 'just', 'give', 'our', 'app', 'team', 'a', 'call', 'about', 'this', 'on', '0333', '202', '1035', 'and', ""they'll"", 'get', 'this', 'sorted.', '-', 'dan""""""']","['35,""b""""@whittakerrob', 'okay', 'robert,', 'case', 'give', 'app', 'team', 'call', '0333', '202', '1035', ""they'll"", 'get', 'sorted.', '-', 'dan""""""']"
37,"36,b'@boxingwozer123 i hope that you get sorted warren. thanks. - dan'","[""36,b'@boxingwozer123"", 'i', 'hope', 'that', 'you', 'get', 'sorted', 'warren.', 'thanks.', '-', ""dan'""]","[""36,b'@boxingwozer123"", 'hope', 'get', 'sorted', 'warren.', 'thanks.', '-', ""dan'""]"
38,"37,b'@boxingwozer123 okay in that case the best people to speak with would be our friends @bcardbusiness they are open 9\xe2\x80\xa6 https://t.co/wm7fegqxjq'","[""37,b'@boxingwozer123"", 'okay', 'in', 'that', 'case', 'the', 'best', 'people', 'to', 'speak', 'with', 'would', 'be', 'our', 'friends', '@bcardbusiness', 'they', 'are', 'open', '9\\xe2\\x80\\xa6', ""https://t.co/wm7fegqxjq'""]","[""37,b'@boxingwozer123"", 'okay', 'case', 'best', 'people', 'speak', 'would', 'friends', '@bcardbusiness', 'open', '9\\xe2\\x80\\xa6', ""https://t.co/wm7fegqxjq'""]"
39,"38,b'@boxingwozer123 hi warren. are you referring to a payment terminal with barclaycard business? - dan'","[""38,b'@boxingwozer123"", 'hi', 'warren.', 'are', 'you', 'referring', 'to', 'a', 'payment', 'terminal', 'with', 'barclaycard', 'business?', '-', ""dan'""]","[""38,b'@boxingwozer123"", 'hi', 'warren.', 'referring', 'payment', 'terminal', 'barclaycard', 'business?', '-', ""dan'""]"
40,"39,""b""""@boxingwozer123 we don't have a uk number warren but all of our agents receive the same training whether they based\xe2\x80\xa6 https://t.co/g4p6auz8vr""""""","['39,""b""""@boxingwozer123', 'we', ""don't"", 'have', 'a', 'uk', 'number', 'warren', 'but', 'all', 'of', 'our', 'agents', 'receive', 'the', 'same', 'training', 'whether', 'they', 'based\\xe2\\x80\\xa6', 'https://t.co/g4p6auz8vr""""""']","['39,""b""""@boxingwozer123', 'uk', 'number', 'warren', 'agents', 'receive', 'training', 'whether', 'based\\xe2\\x80\\xa6', 'https://t.co/g4p6auz8vr""""""']"
41,"40,""b""""@mattbernard hi matt. that doesn't sound good at all, if you need any help at all you're more than welcome to drop into dm. thanks. - dan""""""","['40,""b""""@mattbernard', 'hi', 'matt.', 'that', ""doesn't"", 'sound', 'good', 'at', 'all,', 'if', 'you', 'need', 'any', 'help', 'at', 'all', ""you're"", 'more', 'than', 'welcome', 'to', 'drop', 'into', 'dm.', 'thanks.', '-', 'dan""""""']","['40,""b""""@mattbernard', 'hi', 'matt.', 'sound', 'good', 'all,', 'need', 'help', 'welcome', 'drop', 'dm.', 'thanks.', '-', 'dan""""""']"
42,"41,""b""""@boxingwozer123 hey warren, sorry to hear this if you'd like to pop over to dm i'll see if i can help. thanks. - dan""""""","['41,""b""""@boxingwozer123', 'hey', 'warren,', 'sorry', 'to', 'hear', 'this', 'if', ""you'd"", 'like', 'to', 'pop', 'over', 'to', 'dm', ""i'll"", 'see', 'if', 'i', 'can', 'help.', 'thanks.', '-', 'dan""""""']","['41,""b""""@boxingwozer123', 'hey', 'warren,', 'sorry', 'hear', 'like', 'pop', 'dm', ""i'll"", 'see', 'help.', 'thanks.', '-', 'dan""""""']"
43,"42,""b""""@chrismcevoy this is a strange one chris, i'd probably recommend calling our app team about this so they can raise\xe2\x80\xa6 https://t.co/fgym9cfpbn""""""","['42,""b""""@chrismcevoy', 'this', 'is', 'a', 'strange', 'one', 'chris,', ""i'd"", 'probably', 'recommend', 'calling', 'our', 'app', 'team', 'about', 'this', 'so', 'they', 'can', 'raise\\xe2\\x80\\xa6', 'https://t.co/fgym9cfpbn""""""']","['42,""b""""@chrismcevoy', 'strange', 'one', 'chris,', ""i'd"", 'probably', 'recommend', 'calling', 'app', 'team', 'raise\\xe2\\x80\\xa6', 'https://t.co/fgym9cfpbn""""""']"
44,"43,""b'@katethewench hi kate, whoops looks like we may have had a typo when someone has entered their number to us. are yo\xe2\x80\xa6 https://t.co/oyeqicffae'""","['43,""b\'@katethewench', 'hi', 'kate,', 'whoops', 'looks', 'like', 'we', 'may', 'have', 'had', 'a', 'typo', 'when', 'someone', 'has', 'entered', 'their', 'number', 'to', 'us.', 'are', 'yo\\xe2\\x80\\xa6', 'https://t.co/oyeqicffae\'""']","['43,""b\'@katethewench', 'hi', 'kate,', 'whoops', 'looks', 'like', 'may', 'typo', 'someone', 'entered', 'number', 'us.', 'yo\\xe2\\x80\\xa6', 'https://t.co/oyeqicffae\'""']"
45,"44,""b""""@the_purple_nun apologies about this kirsty, if you'd like to discuss this in more detail just give us a call on 08\xe2\x80\xa6 https://t.co/dosk3lsh3z""""""","['44,""b""""@the_purple_nun', 'apologies', 'about', 'this', 'kirsty,', 'if', ""you'd"", 'like', 'to', 'discuss', 'this', 'in', 'more', 'detail', 'just', 'give', 'us', 'a', 'call', 'on', '08\\xe2\\x80\\xa6', 'https://t.co/dosk3lsh3z""""""']","['44,""b""""@the_purple_nun', 'apologies', 'kirsty,', 'like', 'discuss', 'detail', 'give', 'us', 'call', '08\\xe2\\x80\\xa6', 'https://t.co/dosk3lsh3z""""""']"
46,"45,""b""""@joelphillips hey joel, ahh this is never the call you expect to receive! but i'm glad our fraud team have been abl\xe2\x80\xa6 https://t.co/9eevor1f9h""""""","['45,""b""""@joelphillips', 'hey', 'joel,', 'ahh', 'this', 'is', 'never', 'the', 'call', 'you', 'expect', 'to', 'receive!', 'but', ""i'm"", 'glad', 'our', 'fraud', 'team', 'have', 'been', 'abl\\xe2\\x80\\xa6', 'https://t.co/9eevor1f9h""""""']","['45,""b""""@joelphillips', 'hey', 'joel,', 'ahh', 'never', 'call', 'expect', 'receive!', ""i'm"", 'glad', 'fraud', 'team', 'abl\\xe2\\x80\\xa6', 'https://t.co/9eevor1f9h""""""']"
47,"46,b'@lauren_brabin1 the team are 24/7 so you can call them at anytime. jo'","[""46,b'@lauren_brabin1"", 'the', 'team', 'are', '24/7', 'so', 'you', 'can', 'call', 'them', 'at', 'anytime.', ""jo'""]","[""46,b'@lauren_brabin1"", 'team', '24/7', 'call', 'anytime.', ""jo'""]"
48,"47,""b""""@vinib hey vincenzo, thanks for your message. we're barclaycard uk here. you may find more information on the follo\xe2\x80\xa6 https://t.co/k2y9zt68nx""""""","['47,""b""""@vinib', 'hey', 'vincenzo,', 'thanks', 'for', 'your', 'message.', ""we're"", 'barclaycard', 'uk', 'here.', 'you', 'may', 'find', 'more', 'information', 'on', 'the', 'follo\\xe2\\x80\\xa6', 'https://t.co/k2y9zt68nx""""""']","['47,""b""""@vinib', 'hey', 'vincenzo,', 'thanks', 'message.', ""we're"", 'barclaycard', 'uk', 'here.', 'may', 'find', 'information', 'follo\\xe2\\x80\\xa6', 'https://t.co/k2y9zt68nx""""""']"
