,text
62,"b'@kharran hey, thanks for this. are you able to dm me your postcode so i can locate your account and feed this back\xe2\x80\xa6 https://t.co/m299qtb8u3'"
63,"b""@kirstpe okay, i'd recommend you call our digital team on 0800 151 6300 to check this out further. thanks, dean."""
64,"b'@felion84 hi natalie, i am sorry you feel the need to complain. if you have cleared 80% of the balance then this wi\xe2\x80\xa6 https://t.co/ewgagnbtbr'"
65,"b""@kirstpe apologies kirsten, no idea why that's happening. are you trying to set up the app? thanks, dean."""
66,"b'@kirstpe please accept my apologies kirsten, is this still happening? thanks, dean.'"
67,"b""@ralohhi sorry to hear you don't like our app, can i check if you're a us or uk customer so i can point you to the\xe2\x80\xa6 https://t.co/7x0mogyyrw"""
68,"b'@drcrockford please accept my apologies for this chris, have you managed to speak to our fraud team to get this loo\xe2\x80\xa6 https://t.co/aiyyq8mbol'"
69,"b'@hairymarmite no problem, well our telephony team are open 24 hours a day so it may be worth trying them a little later on.\n\n- dan'"
70,"b'@hairymarmite yes that should be okay, did the advisor state how long the systems are down for or when they recomme\xe2\x80\xa6 https://t.co/ri2cqceemv'"
71,"b'@felion84 hi natalie, if you need any help with this we do have a team set up within the business that can help you\xe2\x80\xa6 https://t.co/zyf7cs1vnu'"
72,b'@origemwilks hi there. we need to see a proof of income before we can agree a credit limit for any customers that d\xe2\x80\xa6 https://t.co/yyc1f2mlhk'
73,"b'@mccali99 hey there, sorry for the long hold time, which team are you trying to get through too? - dan'"
74,"b""@kylefenn hey kyle. what a shame you've had to cancel a trip because of this awful virus, i hope that it wasn't som\xe2\x80\xa6 https://t.co/uq0c9zi3cr"""
75,"b""@jamieglackin1 hey jamie. i'm listening and am keen to know if there's anything that i can do with regards to the e\xe2\x80\xa6 https://t.co/uzvgraugmd"""
76,"b""@junkkmale no that doesn't sound like one of ours to be honest, thanks for flagging. - dan"""
77,b'@toomanyomars thanks for the feedback omar but at this moment in time there are no plans to use google pay at prese\xe2\x80\xa6 https://t.co/q9vji6l7jd'
78,b'@iam_ctina this is the first conversation that i can see for you christina but i would need you to pop over to dm. thanks. - dan'
79,"b""@iam_ctina if you can pop over to dm for me i'll advise what can be done. thanks. - dan"""
80,"b""@dazzykbelfast yes the systems are up and running darren. if you still don't get through later on you are more than\xe2\x80\xa6 https://t.co/byf7gl4bl0"""
81,"b""@iam_ctina apologies i wish i could help but unfortunately i don't work on the disputes team so i cannot answer your question. - dan"""
82,"b""@dazzykbelfast i can't arrange a callback from the team i'm afraid darren, you'll need to hang on the line. - dan"""
83,b'@iam_ctina @bbcintrolancs @theharaband hi christina. apologies if you are having issues getting through to our disp\xe2\x80\xa6 https://t.co/nox90visa6'
84,"b'@dazzykbelfast apologies darren, they are busier than anticipated but please bear with them.  - dan'"
85,"b'@gd_supersophe no problem jon, if you need anything else you know where we are. thanks. - dan'"
86,"b'@danbeattie hi dan, sorry that you were having issues getting through. can you please pop over to dm for me. thanks. - dan'"
87,"b'@junkkmale morning peter, what was the number that called you today? - dan'"
88,"b""@mburn101 @haylzc6 hi burnie, apologies this is taking longer than anticipated if you'd like an update at any point\xe2\x80\xa6 https://t.co/k59broeyam"""
89,"b""@danielciornei hey daniel, this isn't what i like to see. could you pop through to dm for me and let me know what e\xe2\x80\xa6 https://t.co/kuch09z5hr"""
90,"b'@inkdogart ah right ok. yeah, you\xe2\x80\x99d need our friends over @askbarclaysus monday to friday 9am-5pm est for this one. andy.'"
91,"b'@inkdogart hello there, can i check what date you took this offer out and was it on a uk barclaycard? you can dm us\xe2\x80\xa6 https://t.co/vbmuqbtb4a'"
92,b'@grumpynorniron ah ok great. glad it\xe2\x80\x99s working. give us a shout if you need anything else. andy.'
93,b'@grumpynorniron hi davey. can you tell me issues you\xe2\x80\x99ve been having please? andy.'
94,b'@gd_supersophe hi jon. how long it takes depends on the company in question. generally speaking you\xe2\x80\x99re looking at 3\xe2\x80\xa6 https://t.co/kxmcdzjedu'
95,"b""@geometricae hey there, thanks for getting in touch today! could you pop over to dm with a bit more info as i can't\xe2\x80\xa6 https://t.co/kloesi2exq"""
96,"b""@lsdnbr91 if you come in to dm i'll see if i can find a contact to get some clarity on that for you laila. thanks n\xe2\x80\xa6 https://t.co/zkszfmktc8"""
97,b'@lsdnbr91 ask for it to be reviewed laila. thanks nikki'
98,"b""@lsdnbr91 we're able to refer a declined application laila. we would look to review this based on the fact you bank\xe2\x80\xa6 https://t.co/vymynkz0dx"""
99,"b""@lsdnbr91 i don't know their processes laila as they're the only team that can process an application for you. do y\xe2\x80\xa6 https://t.co/t1pyezyatm"""
100,b'@squirtyberti hmm thanks for explaining this. when were you last able to get logged in? can you send me a screensho\xe2\x80\xa6 https://t.co/ovytnnklu5'
101,"b""@jt0576 we're unable to deal with escalated complaints so you would need to speak to the team. thanks nikki"""
102,"b""@lsdnbr91 hi laila, have you already applied? i'm not sure on the application process over the phone. it may be the\xe2\x80\xa6 https://t.co/tgvdgdp9du"""
103,"b""@squirtyberti hey there, thanks for dropping by today! is it when you're trying to log into the app or online servi\xe2\x80\xa6 https://t.co/p1om1yqbht"""
104,"b""@jt0576 we wouldn't be able to provide an update here for you i'm afraid, you would need to reach out to the team on 0800 056 3336. rachel"""
105,"b'get excited to see stars of @bbcintrolancs, @theharaband on their #wearethemovement tour this april 2020 \xf0\x9f\x8e\xb8 #fyi \xe2\x80\x93 t\xe2\x80\xa6 https://t.co/pw62tmsedb'"
106,b'@jt0576 all notes have been added and calls will be listened to so if there have been any broken promises the team\xe2\x80\xa6 https://t.co/spmcbtvh6s'
107,"b""@1nkling that's not great at all ben. can you pop over to dm so i can get this looked into immediately. thanks nikki https://t.co/mpqb4etryv"""
108,"b""@janschofield01 hi jan, that's not great. does it have a welcome letter as if it's for a new account or is it just\xe2\x80\xa6 https://t.co/kqwr5khjla"""
109,"b'@bravelaney hi mark, it would depend which department and what your query was relating to as to whether the team wo\xe2\x80\xa6 https://t.co/ni181ret72'"
110,"b""@jt0576 they are service channels for customers jt. it's one of our customer service systems that's down at the moment. thanks nikki"""
111,"b""@jt0576 you'll need to get in touch with them so they can check the notes out for you. if it was quite late last ni\xe2\x80\xa6 https://t.co/kq7n3cbmh3"""
112,b'@jt0576 the team are dealing with this for you as advised in our dm. if you need anything else please get in touch\xe2\x80\xa6 https://t.co/9j8t1g1sh8'
113,"b""@chris_skinner you'd need to speak to @bcardbusiness for help with this chris. they're available monday to friday 9am to 5pm. thanks nikki"""
114,"b""@chris_skinner morning chris, i appreciate this isn't ideal. can you tell me what is happening when you're trying t\xe2\x80\xa6 https://t.co/j2nfskoejy"""
115,"b""@jaminwatts morning ben, this certainly doesn't sound good, i'm so sorry for this! can you pop over to dm to explai\xe2\x80\xa6 https://t.co/0i5v84uahw"""
116,"b""@james_17_wall hey james, our offers are reviewed regularly and we'd make you aware whenever you have new options a\xe2\x80\xa6 https://t.co/uzax2vxpxr"""
117,"b""@andyatbojowan hmm that does sound a little odd andy, i'd recommend giving the team a call on 0800 151 0900 or 0333\xe2\x80\xa6 https://t.co/opcacrwk0t"""
118,b'@bloominthebox no worries at all! let me know how you get on! corrina'
119,"b""@bloominthebox if you don't get it instantly, you should have it within 24 hours. have you checked your junk folder\xe2\x80\xa6 https://t.co/n9zicd0nqg"""
120,"b""@bloominthebox hey there, yeah - we'll send you an email off the back of your application, from there you can uploa\xe2\x80\xa6 https://t.co/aslkehi5xh"""
121,"b""@joehenderson2 please do pop back to us any time if you've any other trouble joe; we're here 24/7! you know where we are :) paul"""
122,"b""@joehenderson2 hi there joe, sorry that you're having some trouble making your payment! do you know if a statement\xe2\x80\xa6 https://t.co/thwrjh17pr"""
123,"b'@chrismcevoy hi again chris, sorry for tweeting you twice. can you pop your full name and postcode over to us via d\xe2\x80\xa6 https://t.co/9rmxbjeuhx'"
124,"b""@chrismcevoy hi chris! just wanted to let you know we're still looking in to this for you :) paul"""
125,"b""@andywitheringt1 hi there andy, i'm sorry you've had some issues speaking to us :( can you pop to dm with a little\xe2\x80\xa6 https://t.co/i8apcgiyvi"""
126,"b""@kholakholz hey khola, fabulous!!! if you dm me your postcode i'll locate sheree and send on your thanks.  thanks n\xe2\x80\xa6 https://t.co/vp8o68vxma"""
127,"b""@realrichieb i'm afraid not richard. you can't send funds with a credit card to pay for services or purchases. have\xe2\x80\xa6 https://t.co/p4mycmnthm"""
128,"b""@tommelody88 ah no tom! i've just checked our online service status page and everything looks green:\xe2\x80\xa6 https://t.co/iswsbasuiy"""
129,"b""@tombrad95 hi tom! thanks for letting us know - sorry, you hadn't responded to the questions asked so your message\xe2\x80\xa6 https://t.co/hspd3v8i6r"""
130,"b""@timboulton84 morning timmy, sorry that you're having trouble. how were you trying to use your card and did any err\xe2\x80\xa6 https://t.co/ugxyenzwgm"""
131,"b""@jscbriz hey joe, thanks for your message and i appreciate it's not ideal. can you pop over to dm so i can give you\xe2\x80\xa6 https://t.co/39ylu56rj4"""
132,"b""@geometricae i can see kristos sent you that message, i can assure you he's real and his message is totally correct\xe2\x80\xa6 https://t.co/sxptky4yp9"""
133,"b""@jodiebelcher21 hey jodie, thanks for your message and sorry for your wait. this certainly isn't how we want you to\xe2\x80\xa6 https://t.co/qcn2irpphk"""
134,"b""@domitella hey domitella, i appreciate it's not ideal and i'll certainly give you a hand with this. can you pop ove\xe2\x80\xa6 https://t.co/ikaquwtk7a"""
135,"b'@kathie0330 @americanair we deal specifically with barclaycard in the uk, but our friends @askbarclaysus will be be\xe2\x80\xa6 https://t.co/3cv9cj1h5b'"
136,"b'@rudedrink this will be the reason, sean. did you move over the previous registration to the new device? if not, yo\xe2\x80\xa6 https://t.co/puaqazyag2'"
137,"b'@rudedrink did you change devices, sean? kristos'"
138,"b""@rudedrink good evening sean, you'll need the pinsentry card reader to help complete security checks as part of the\xe2\x80\xa6 https://t.co/goreuqnc2m"""
139,"b""@ashfaq_555 good evening ashfaq, it's depends what offer you have. if you have 0% on purchases, you won't pay any i\xe2\x80\xa6 https://t.co/vkxqu1ulzh"""
140,"b""@deanogould i'm sad to hear you're thinking of leaving us and hope you change your mind. sorry, i couldn\xe2\x80\x99t help you any further. leanne"""
141,"b""@neilwilliams87 hey neil, i'm not 100% on that one but the team on 0333 2 021 035 (7am \xe2\x80\x93 midnight) can help further\xe2\x80\xa6 https://t.co/lp8etlos8a"""
142,"b""@deanogould oh, i'm sorry to hear you're getting an error, dean. \n\nif you've tried all of the steps above then i'll\xe2\x80\xa6 https://t.co/xfektohdbq"""
143,"b'@rsmck @wizpip appreciate your feedback ross, enjoy the rest of your weekend. - dan'"
144,"b'@rsmck @wizpip hey ross. if you can log back into your app and go to ""more"" ""settings"" and finally ""app log-out tim\xe2\x80\xa6 https://t.co/reestkipqr'"
145,"b""@haylzc6 @mburn101 thanks for reaching out hayley, i'm not sure whether you've seen any messages about this. we hav\xe2\x80\xa6 https://t.co/v60xenrhvl"""
146,"b'@mburn101 hey burnie, we have raised this with our technical teams and are just waiting for an update back from the\xe2\x80\xa6 https://t.co/1k2skolhis'"
147,"b'@athchoireachadh hi there, we are currently undergoing planned maintenance at the moment.  you should still be able\xe2\x80\xa6 https://t.co/ibdc64ghfy'"
148,"b""@sianmarielondon thanks for confirming. i'd recommend speaking with barclaycard securely so we can check your account, sian. kristos"""
149,"b'@sianmarielondon hi there, sian. that does sound strange. was the card linked to a brand new account or a replaceme\xe2\x80\xa6 https://t.co/g8nwhwplat'"
150,"b'@lsdnbr91 hi there, laila. have you had an application for a barclaycard declined? if so, could you please pop over\xe2\x80\xa6 https://t.co/eshsrhu1mn'"
151,"b""@alexjohnairey hi alex, can you check you're using the most up to date version of the app? if you are then you'd ne\xe2\x80\xa6 https://t.co/9h6ukmxxe3"""
152,b'@steve55belair thanks for updating us steve. sp sorry you remain unhappy. thanks nikki'
153,"b""@osully_pete hi peter, sorry you've not been able to speak to the disputes team. if you pop over to dm i'll be able\xe2\x80\xa6 https://t.co/sk921jgoqb"""
154,"b""@emziiboo_ it'll clear overnight on monday emily so you should see it tuesday. it will show the date we received it\xe2\x80\xa6 https://t.co/czvdidb5n6"""
155,"b""@osully_pete oh peter that doesn't sound good at all, what were you trying to get through to us to speak about and\xe2\x80\xa6 https://t.co/mg3xb1go64"""
156,b'@emziiboo_ okay in that case it make the payment today it would be available within 2 hours and update on the accou\xe2\x80\xa6 https://t.co/5fjyysflaz'
157,"b""@emziiboo_ hi there are you referring to a payment made to clear your bill or a transaction that you've made using your barclaycard? - dan"""
158,"b'@cwrwme gutted to hear that, if you need any help with the closure just send me a dm. thanks. - dan'"
159,"b""@paul_stocks_ifa if you pop over to dm paul i'll be able to share some more info for you. thanks. - dan"""
160,"b'@paul_stocks_ifa hi paul, marketing to non customers does not count as a breach of gdpr. - dan'"
161,"b""@paul_stocks_ifa okay paul, can you pop over to dm and i'll advise how you can get these letters to stop. - dan"""
162,b'@paul_stocks_ifa hi paul. do you already hold a barclaycard with us or are you getting marketing letters asking you to apply? - dan'
163,"b""@ginia123 i'll check for you ginia, can you pop your full name, postcode and contact number over to me via dm? - dan"""
164,"b""@cwrwme hi there, although we don't have samsung pay we do have our own contacless mobile for android users. you ca\xe2\x80\xa6 https://t.co/oilw5v7zla"""
165,"b""@steve55belair hi steve, can you let me know what's happened via dm please? - dan"""
166,"b'@le_beano okay thanks for letting me know, if you ever have this issue in the future you can always pay your bill d\xe2\x80\xa6 https://t.co/1lpqgrks7k'"
167,"b""@chr15_b thanks for sending in the details via dm, i'm replying now. - dan"""
168,"b'@chr15_b good morning brand, i can take a look and see about stopping these letters for you. can you please pop ove\xe2\x80\xa6 https://t.co/rebhz6gigk'"
169,"b""@jcashmanimages hi john, you can provide an improvement idea within the barclays app through the 'suggest your idea\xe2\x80\xa6 https://t.co/muzpo1adoj"""
170,"b'@le_beano thanks for letting me know this, could you please let me know if your app is up to date along with the ma\xe2\x80\xa6 https://t.co/df2iakgmi3'"
171,"b""@fxtwo you're welcome, let me know if you need anything else at all, we are here 24/7. -kev"""
172,"b""@hp_matt hi matthew, i'm really sorry to see your message. what happened exactly? i'd like to see how i can help. d\xe2\x80\xa6 https://t.co/wujsbjm2e9"""
173,"b'@ronak96575041 ah right, we deal with barclaycard in the uk specifically, but our friends @askbarclaysus will be ab\xe2\x80\xa6 https://t.co/asuhkce52h'"
174,"b""@le_beano hi there, i'm sorry to hear you're having difficulty paying this in the app. what happens exactly when yo\xe2\x80\xa6 https://t.co/mtqejerywt"""
175,"b""@emziiboo_ hi there, emily. thanks for getting in touch. it's difficult to advise on this without looking at your a\xe2\x80\xa6 https://t.co/kx1li4drfc"""
176,"b'@ronak96575041 ah right, this looks to be a us number, are you based in the us? -kev'"
177,"b'@goangold i see. how long has it been this way, lisa? kristos'"
178,"b""@fxtwo hi finlay, thanks for getting in touch. i'm sorry to hear this item has come out to you faulty. you'd need t\xe2\x80\xa6 https://t.co/j1wgpfcbjw"""
179,"b""@mary__daisy after careful consideration it's pretty good overall, but maybe red pen would have made it clearer to\xe2\x80\xa6 https://t.co/zpsjdjf2fr"""
180,"b""@roger1benson hey, roger! we're just following the old tradition of 'find a penny pick it up, all day long you've have good luck! kristos"""
181,b'@stevengberman off for a cup of tea now with the queen :) hope you get this sorted steve. -kev'
182,"b""@mary__daisy hi there, mary-daisy. thanks for taking the time to get in touch about marketing. it's actually pretty\xe2\x80\xa6 https://t.co/vt46megayl"""
183,"b""@ronak96575041 @uber_support hi there, thanks for letting me know about the calls you're receiving. were you able t\xe2\x80\xa6 https://t.co/5gas52ws0d"""
184,"b'@realparadyne hi david, top-ups to your revolut card class as a ""cash-like transaction"", as you can then use the ca\xe2\x80\xa6 https://t.co/6x14ojs6o5'"
185,"b""@gregsmithevox hi greg, you'd only need the card reader when registering for the app, but if you don't have one you\xe2\x80\xa6 https://t.co/c7iqyxvglf"""
186,"b'@stevengberman hi steve, we deal specifically with barclaycard in the uk, but our friends @askbarclaysus will be ab\xe2\x80\xa6 https://t.co/ggqtbjail8'"
187,"b""@nickhaynesfac63 i completely understand, it's nice to feel wanted :) -kev"""
188,"b'@slawrenceuk hey steve, thanks for getting in touch today! ahh i see, could you pop over to dm with me? i can talk\xe2\x80\xa6 https://t.co/uuq5spljld'"
189,"b""@nickhaynesfac63 ah nick, we love to make you feel special. however we don't like to feel as if we're competing wit\xe2\x80\xa6 https://t.co/dj3kbtq93z"""
190,"b'@beccax10 okay i can help you with this, can you pop over to dm for me? all i need is your full name, postcode and\xe2\x80\xa6 https://t.co/nwto81sdhd'"
191,"b'@beccax10 hey becca, are you wanting to block the card lost or stolen or are you wanting to close down your account? - dan'"
192,"b'@beccax10 hey becca :) thanks for dropping by today! ahh you can easily cancel your card by giving us a quick call,\xe2\x80\xa6 https://t.co/uedlk3vcex'"
193,b'@l4ur3_n no bother lauren.\n\n- dan'
194,b'@kaitybarrett hi kaity. the team may still need to speak with you if this is regarding a fraud check so it may be w\xe2\x80\xa6 https://t.co/5uuxvtsixa'
195,"b'@justmeinnit brill, can you do me a favour and drop me a dm with your full name, postcode and contact number? - dan'"
196,"b'@justmeinnit i can sort this kel, can you take a call? - dan'"
197,"b'@natashalucycain hey natasha, i can sort that for you. can you take a call? if you can just send me you your full n\xe2\x80\xa6 https://t.co/ipuxn6unvf'"
198,"b""@nickmotown ah jason, we do love our customers but completely understand if you don't want to be one of them. if yo\xe2\x80\xa6 https://t.co/ron4vznmtk"""
199,"b""@mburn101 i'm looking into this for you now. we're raising this with the team to find out what's going on. i'll be\xe2\x80\xa6 https://t.co/pthr5f6jqz"""
200,"b'@l4ur3_n hey lauren, i know exactly what you mean haha :) good news, you can change this! to check how to do this,\xe2\x80\xa6 https://t.co/qcl82f4ufl'"
201,"b""@mburn101 thanks for checking. i have had a few reports that this isn't working but we aren't aware of any known is\xe2\x80\xa6 https://t.co/abksu0uorr"""
202,"b""@mat_the_w86 ah thanks for giving it a go, sorry it's not worked :( i think it would be best that you chat with the\xe2\x80\xa6 https://t.co/48hxibksqa"""
203,"b""@mat_the_w86 ah that's not good :( can you try restarting your device and closing any background versions of the ap\xe2\x80\xa6 https://t.co/m5dzzbrvif"""
204,b'@_leannemw can you also try restarting your device to see if this does the trick? if all fails then it would be bes\xe2\x80\xa6 https://t.co/bajnoso8kz'
205,"b""@_leannemw i see; i'm just checking this and 0002 is normally a generic error code. it's best to go through the bas\xe2\x80\xa6 https://t.co/zbnpwz8mbt"""
206,"b""@_leannemw hey leanne, i'm sorry that you're having trouble getting logged in :( how long has this been happening f\xe2\x80\xa6 https://t.co/wskmftlbvk"""
207,"b""@mburn101 ah no! i'm sorry you're seeing this error on your app, let's get this sorted out for you :) this can have\xe2\x80\xa6 https://t.co/irlkhffn1w"""
208,"b""@wandswortheye hi there, thanks for letting us know about this, i'll be happy to help. could you please pop over to\xe2\x80\xa6 https://t.co/ybyjxhmcfs"""
209,"b'@mat_the_w86 hi there, matt. we were seeing some errors yesterday but they should now have all been resolved. how l\xe2\x80\xa6 https://t.co/zpdankrisg'"
210,"b""@tyler_gt where it asks 'are you a barclays or barclaycard customer?' you just need to select the appropriate optio\xe2\x80\xa6 https://t.co/l71q9apvna"""
211,"b'@tyler_gt hi graham, if you\xe2\x80\x99d like to request that we stop processing your data completely then you can do this by\xe2\x80\xa6 https://t.co/etjqtzxsh8'"
212,"b""@gallivantgirl you don't need to worry anastasia and there's a range of possible information we may ask for to conf\xe2\x80\xa6 https://t.co/a9ws89dzex"""
213,"b""@gallivantgirl i've just input it again and it is safe, if you enter it exactly the way you've sent it to me it comes up as safe.\n\n- dan"""
214,"b""@grneyd5600 okay jackie, can you dm me your parents name and postcode and i'll check and see what's going on?- dan"""
215,"b""@gallivantgirl hi anastasia. this is one of our numbers so you are fine to call it back. if you're ever unsure you\xe2\x80\xa6 https://t.co/cnzhag39go"""
216,"b""@grneyd5600 oh jackie that's awful service, so please accept my apologies. do you have power of attorney or disclos\xe2\x80\xa6 https://t.co/om0h5ngfno"""
217,"b""@pbprojects you're more than welcome peter hope the house move went well. thanks. - dan"""
